Ingredient,DF,Route,Trade_Name,Applicant,Strength,Appl_Type,Appl_No,Product_No,TE_Code,Approval_Date,RLD,RS,Type,Applicant_Full_Name,Key,Patent_No,Patent_Expire_Date_Text,Patent_Drug_Substance_Flag,Patent_Drug_Product_Flag,Patent_Use_Code,Patent_Delist_Flag,Patent_Submission_Date,Exclusivity_Code,Exclusivity_Date
CHOLINE FENOFIBRATE,"CAPSULE, DELAYED RELEASE",ORAL,FENOFIBRIC ACID,MYLAN PHARMS INC,EQ 135MG FENOFIBRIC ACID,A,200913,2,AB,3/25/2013,No,No,RX,MYLAN PHARMACEUTICALS INC,200913-2,,,,,,,,,
CARBAMAZEPINE,"CAPSULE, EXTENDED RELEASE",ORAL,CARBAMAZEPINE,MYLAN IRELAND LTD,100MG,A,76697,1,AB,5/20/2011,No,No,RX,MYLAN IRELAND LTD,76697-1,,,,,,,,,
CARBAMAZEPINE,"CAPSULE, EXTENDED RELEASE",ORAL,CARBAMAZEPINE,MYLAN IRELAND LTD,200MG,A,76697,2,AB,5/20/2011,No,No,RX,MYLAN IRELAND LTD,76697-2,,,,,,,,,
CARBAMAZEPINE,"CAPSULE, EXTENDED RELEASE",ORAL,CARBAMAZEPINE,MYLAN IRELAND LTD,300MG,A,76697,3,AB,5/20/2011,No,No,RX,MYLAN IRELAND LTD,76697-3,,,,,,,,,
DEXMETHYLPHENIDATE HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,DEXMETHYLPHENIDATE HYDROCHLORIDE,MYLAN PHARMS INC,5MG,A,204266,1,AB,8/25/2015,No,No,RX,MYLAN PHARMACEUTICALS INC,204266-1,,,,,,,,,
DEXMETHYLPHENIDATE HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,DEXMETHYLPHENIDATE HYDROCHLORIDE,MYLAN PHARMS INC,10MG,A,204266,2,AB,8/25/2015,No,No,RX,MYLAN PHARMACEUTICALS INC,204266-2,,,,,,,,,
DEXMETHYLPHENIDATE HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,DEXMETHYLPHENIDATE HYDROCHLORIDE,MYLAN PHARMS INC,15MG,A,204266,3,AB,8/25/2015,No,No,RX,MYLAN PHARMACEUTICALS INC,204266-3,,,,,,,,,
DEXMETHYLPHENIDATE HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,DEXMETHYLPHENIDATE HYDROCHLORIDE,MYLAN PHARMS INC,20MG,A,204266,4,AB,12/21/2015,No,No,RX,MYLAN PHARMACEUTICALS INC,204266-4,,,,,,,,,
DEXMETHYLPHENIDATE HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,DEXMETHYLPHENIDATE HYDROCHLORIDE,MYLAN PHARMS INC,30MG,A,202580,1,AB,8/28/2013,No,No,RX,MYLAN PHARMACEUTICALS INC,202580-1,,,,,,,,,
DEXMETHYLPHENIDATE HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,DEXMETHYLPHENIDATE HYDROCHLORIDE,MYLAN PHARMS INC,40MG,A,204266,7,AB,8/25/2015,No,No,RX,MYLAN PHARMACEUTICALS INC,204266-7,,,,,,,,,
DEXTROAMPHETAMINE SULFATE,"CAPSULE, EXTENDED RELEASE",ORAL,DEXTROAMPHETAMINE SULFATE,MYLAN PHARMS INC,5MG,A,206735,1,AB,1/27/2016,No,No,RX,MYLAN PHARMACEUTICALS INC,206735-1,,,,,,,,,
DEXTROAMPHETAMINE SULFATE,"CAPSULE, EXTENDED RELEASE",ORAL,DEXTROAMPHETAMINE SULFATE,MYLAN PHARMS INC,10MG,A,206735,2,AB,1/27/2016,No,No,RX,MYLAN PHARMACEUTICALS INC,206735-2,,,,,,,,,
DEXTROAMPHETAMINE SULFATE,"CAPSULE, EXTENDED RELEASE",ORAL,DEXTROAMPHETAMINE SULFATE,MYLAN PHARMS INC,15MG,A,206735,3,AB,1/27/2016,No,No,RX,MYLAN PHARMACEUTICALS INC,206735-3,,,,,,,,,
DILTIAZEM HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,DILTIAZEM HYDROCHLORIDE,MYLAN,60MG,A,74910,1,,5/2/1997,No,No,RX,MYLAN PHARMACEUTICALS INC,74910-1,,,,,,,,,
DILTIAZEM HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,DILTIAZEM HYDROCHLORIDE,MYLAN,90MG,A,74910,2,,5/2/1997,No,No,RX,MYLAN PHARMACEUTICALS INC,74910-2,,,,,,,,,
DILTIAZEM HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,DILTIAZEM HYDROCHLORIDE,MYLAN,120MG,A,74910,3,BC,5/2/1997,No,Yes,RX,MYLAN PHARMACEUTICALS INC,74910-3,,,,,,,,,
DILTIAZEM HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,DILTIAZEM HYDROCHLORIDE,MYLAN,120MG,A,75124,2,AB2,3/18/1998,No,No,RX,MYLAN PHARMACEUTICALS INC,75124-2,,,,,,,,,
DILTIAZEM HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,DILTIAZEM HYDROCHLORIDE,MYLAN,180MG,A,75124,3,AB2,3/18/1998,No,No,RX,MYLAN PHARMACEUTICALS INC,75124-3,,,,,,,,,
DILTIAZEM HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,DILTIAZEM HYDROCHLORIDE,MYLAN,240MG,A,75124,1,AB2,3/18/1998,No,Yes,RX,MYLAN PHARMACEUTICALS INC,75124-1,,,,,,,,,
GALANTAMINE HYDROBROMIDE,"CAPSULE, EXTENDED RELEASE",ORAL,GALANTAMINE HYDROBROMIDE,MYLAN,EQ 8MG BASE,A,90900,1,,1/24/2011,No,No,DISCN,MYLAN PHARMACEUTICALS INC,90900-1,,,,,,,,,
GALANTAMINE HYDROBROMIDE,"CAPSULE, EXTENDED RELEASE",ORAL,GALANTAMINE HYDROBROMIDE,MYLAN,EQ 16MG BASE,A,90900,2,,1/24/2011,No,No,DISCN,MYLAN PHARMACEUTICALS INC,90900-2,,,,,,,,,
GALANTAMINE HYDROBROMIDE,"CAPSULE, EXTENDED RELEASE",ORAL,GALANTAMINE HYDROBROMIDE,MYLAN,EQ 24MG BASE,A,90900,3,,1/24/2011,No,No,DISCN,MYLAN PHARMACEUTICALS INC,90900-3,,,,,,,,,
INDOMETHACIN,"CAPSULE, EXTENDED RELEASE",ORAL,INDOMETHACIN,MYLAN PHARMS INC,75MG,A,202139,1,AB,3/20/2014,No,No,RX,MYLAN PHARMACEUTICALS INC,202139-1,,,,,,,,,
KETOPROFEN,"CAPSULE, EXTENDED RELEASE",ORAL,KETOPROFEN,MYLAN,100MG,A,75679,3,,2/20/2002,No,No,DISCN,MYLAN PHARMACEUTICALS INC,75679-3,,,,,,,,,
KETOPROFEN,"CAPSULE, EXTENDED RELEASE",ORAL,KETOPROFEN,MYLAN,150MG,A,75679,2,,2/20/2002,No,No,DISCN,MYLAN PHARMACEUTICALS INC,75679-2,,,,,,,,,
KETOPROFEN,"CAPSULE, EXTENDED RELEASE",ORAL,KETOPROFEN,MYLAN,200MG,A,75679,1,,2/20/2002,No,Yes,RX,MYLAN PHARMACEUTICALS INC,75679-1,,,,,,,,,
MEMANTINE HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,MEMANTINE HYDROCHLORIDE,MYLAN PHARMS INC,7MG,A,206032,1,AB,9/28/2016,No,No,RX,MYLAN PHARMACEUTICALS INC,206032-1,,,,,,,,,
MEMANTINE HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,MEMANTINE HYDROCHLORIDE,MYLAN PHARMS INC,14MG,A,206032,2,AB,9/28/2016,No,No,RX,MYLAN PHARMACEUTICALS INC,206032-2,,,,,,,,,
MEMANTINE HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,MEMANTINE HYDROCHLORIDE,MYLAN PHARMS INC,21MG,A,206032,3,AB,9/28/2016,No,No,RX,MYLAN PHARMACEUTICALS INC,206032-3,,,,,,,,,
MEMANTINE HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,MEMANTINE HYDROCHLORIDE,MYLAN PHARMS INC,28MG,A,206032,4,AB,9/28/2016,No,No,RX,MYLAN PHARMACEUTICALS INC,206032-4,,,,,,,,,
PROPAFENONE HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,PROPAFENONE HYDROCHLORIDE,MYLAN PHARMS INC,225MG,A,203803,1,AB,4/29/2016,No,No,RX,MYLAN PHARMACEUTICALS INC,203803-1,,,,,,,,,
PROPAFENONE HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,PROPAFENONE HYDROCHLORIDE,MYLAN PHARMS INC,325MG,A,203803,2,AB,4/29/2016,No,No,RX,MYLAN PHARMACEUTICALS INC,203803-2,,,,,,,,,
PROPAFENONE HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,PROPAFENONE HYDROCHLORIDE,MYLAN PHARMS INC,425MG,A,203803,3,AB,4/29/2016,No,No,RX,MYLAN PHARMACEUTICALS INC,203803-3,,,,,,,,,
PROPRANOLOL HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,PROPRANOLOL HYDROCHLORIDE,MYLAN,60MG,A,78022,1,,2/15/2007,No,No,DISCN,MYLAN PHARMACEUTICALS INC,78022-1,,,,,,,,,
PROPRANOLOL HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,PROPRANOLOL HYDROCHLORIDE,MYLAN,80MG,A,78022,2,,2/15/2007,No,No,DISCN,MYLAN PHARMACEUTICALS INC,78022-2,,,,,,,,,
PROPRANOLOL HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,PROPRANOLOL HYDROCHLORIDE,MYLAN,120MG,A,78022,3,,2/15/2007,No,No,DISCN,MYLAN PHARMACEUTICALS INC,78022-3,,,,,,,,,
PROPRANOLOL HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,PROPRANOLOL HYDROCHLORIDE,MYLAN,160MG,A,78022,4,,2/15/2007,No,No,DISCN,MYLAN PHARMACEUTICALS INC,78022-4,,,,,,,,,
TOLTERODINE TARTRATE,"CAPSULE, EXTENDED RELEASE",ORAL,TOLTERODINE TARTRATE,MYLAN PHARMS INC,2MG,A,201486,1,AB,10/31/2013,No,No,RX,MYLAN PHARMACEUTICALS INC,201486-1,,,,,,,,,
TOLTERODINE TARTRATE,"CAPSULE, EXTENDED RELEASE",ORAL,TOLTERODINE TARTRATE,MYLAN PHARMS INC,4MG,A,201486,2,AB,10/31/2013,No,No,RX,MYLAN PHARMACEUTICALS INC,201486-2,,,,,,,,,
VENLAFAXINE HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,VENLAFAXINE HYDROCHLORIDE,MYLAN,EQ 37.5MG BASE,A,78789,1,,6/1/2011,No,No,DISCN,MYLAN PHARMACEUTICALS INC,78789-1,,,,,,,,,
VENLAFAXINE HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,VENLAFAXINE HYDROCHLORIDE,MYLAN,EQ 75MG BASE,A,78789,2,,6/1/2011,No,No,DISCN,MYLAN PHARMACEUTICALS INC,78789-2,,,,,,,,,
VENLAFAXINE HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,VENLAFAXINE HYDROCHLORIDE,MYLAN,EQ 150MG BASE,A,78789,3,,6/1/2011,No,No,DISCN,MYLAN PHARMACEUTICALS INC,78789-3,,,,,,,,,
VERAPAMIL HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,VERAPAMIL HYDROCHLORIDE,MYLAN,100MG,A,78306,1,AB,8/9/2007,No,No,RX,MYLAN PHARMACEUTICALS INC,78306-1,,,,,,,,,
VERAPAMIL HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,VERAPAMIL HYDROCHLORIDE,MYLAN,120MG,A,75138,1,AB,4/20/1999,No,No,RX,MYLAN PHARMACEUTICALS INC,75138-1,,,,,,,,,
VERAPAMIL HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,VERAPAMIL HYDROCHLORIDE,MYLAN,180MG,A,75138,2,AB,4/20/1999,No,No,RX,MYLAN PHARMACEUTICALS INC,75138-2,,,,,,,,,
VERAPAMIL HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,VERAPAMIL HYDROCHLORIDE,MYLAN,200MG,A,78306,2,AB,8/9/2007,No,No,RX,MYLAN PHARMACEUTICALS INC,78306-2,,,,,,,,,
VERAPAMIL HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,VERAPAMIL HYDROCHLORIDE,MYLAN,240MG,A,75138,3,AB,4/20/1999,No,No,RX,MYLAN PHARMACEUTICALS INC,75138-3,,,,,,,,,
VERAPAMIL HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,VERAPAMIL HYDROCHLORIDE,MYLAN,300MG,A,78306,3,AB,8/9/2007,No,No,RX,MYLAN PHARMACEUTICALS INC,78306-3,,,,,,,,,
ACEBUTOLOL HYDROCHLORIDE,CAPSULE,ORAL,ACEBUTOLOL HYDROCHLORIDE,MYLAN,EQ 200MG BASE,A,74288,1,AB,4/24/1995,No,No,RX,MYLAN PHARMACEUTICALS INC,74288-1,,,,,,,,,
ACEBUTOLOL HYDROCHLORIDE,CAPSULE,ORAL,ACEBUTOLOL HYDROCHLORIDE,MYLAN,EQ 400MG BASE,A,74288,2,AB,4/24/1995,No,No,RX,MYLAN PHARMACEUTICALS INC,74288-2,,,,,,,,,
ACITRETIN,CAPSULE,ORAL,ACITRETIN,MYLAN PHARMS INC,10MG,A,202148,1,AB,9/10/2015,No,No,RX,MYLAN PHARMACEUTICALS INC,202148-1,,,,,,,,,
ACITRETIN,CAPSULE,ORAL,ACITRETIN,MYLAN PHARMS INC,17.5MG,A,203707,1,,9/10/2015,No,No,DISCN,MYLAN PHARMACEUTICALS INC,203707-1,,,,,,,,,
ACITRETIN,CAPSULE,ORAL,ACITRETIN,MYLAN PHARMS INC,22.5MG,A,203707,2,,9/10/2015,No,No,DISCN,MYLAN PHARMACEUTICALS INC,203707-2,,,,,,,,,
ACITRETIN,CAPSULE,ORAL,ACITRETIN,MYLAN PHARMS INC,25MG,A,202148,2,AB,9/10/2015,No,No,RX,MYLAN PHARMACEUTICALS INC,202148-2,,,,,,,,,
ACYCLOVIR,CAPSULE,ORAL,ACYCLOVIR,MYLAN,200MG,A,74727,1,,4/22/1997,No,No,DISCN,MYLAN PHARMACEUTICALS INC,74727-1,,,,,,,,,
ACYCLOVIR,CAPSULE,ORAL,ACYCLOVIR,MYLAN,200MG,A,74977,1,,4/13/1998,No,No,DISCN,MYLAN PHARMACEUTICALS INC,74977-1,,,,,,,,,
AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE,CAPSULE,ORAL,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,MYLAN,EQ 2.5MG BASE;10MG,A,77375,1,AB,5/21/2010,No,No,RX,MYLAN PHARMACEUTICALS INC,77375-1,,,,,,,,,
AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE,CAPSULE,ORAL,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,MYLAN,EQ 5MG BASE;10MG,A,77375,2,AB,5/21/2010,No,No,RX,MYLAN PHARMACEUTICALS INC,77375-2,,,,,,,,,
AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE,CAPSULE,ORAL,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,MYLAN,EQ 5MG BASE;20MG,A,77375,3,AB,5/21/2010,No,No,RX,MYLAN PHARMACEUTICALS INC,77375-3,,,,,,,,,
AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE,CAPSULE,ORAL,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,MYLAN,EQ 5MG BASE;40MG,A,79047,1,AB,7/5/2011,No,No,RX,MYLAN PHARMACEUTICALS INC,79047-1,,,,,,,,,
AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE,CAPSULE,ORAL,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,MYLAN,EQ 10MG BASE;20MG,A,77375,4,AB,5/21/2010,No,No,RX,MYLAN PHARMACEUTICALS INC,77375-4,,,,,,,,,
AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE,CAPSULE,ORAL,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,MYLAN,EQ 10MG BASE;40MG,A,79047,2,AB,7/5/2011,No,No,RX,MYLAN PHARMACEUTICALS INC,79047-2,,,,,,,,,
ISOTRETINOIN,CAPSULE,ORAL,AMNESTEEM,MYLAN PHARMS INC,10MG,A,75945,1,AB,11/8/2002,No,No,RX,MYLAN PHARMACEUTICALS INC,75945-1,,,,,,,,,
ISOTRETINOIN,CAPSULE,ORAL,AMNESTEEM,MYLAN PHARMS INC,20MG,A,75945,2,AB,11/8/2002,No,No,RX,MYLAN PHARMACEUTICALS INC,75945-2,,,,,,,,,
ISOTRETINOIN,CAPSULE,ORAL,AMNESTEEM,MYLAN PHARMS INC,40MG,A,75945,3,AB,11/8/2002,No,No,RX,MYLAN PHARMACEUTICALS INC,75945-3,,,,,,,,,
AMOXICILLIN,CAPSULE,ORAL,AMOXICILLIN,MYLAN,250MG,A,62067,1,,,No,No,DISCN,MYLAN PHARMACEUTICALS INC,62067-1,,,,,,,,,
AMOXICILLIN,CAPSULE,ORAL,AMOXICILLIN,MYLAN,500MG,A,62067,2,,,No,No,DISCN,MYLAN PHARMACEUTICALS INC,62067-2,,,,,,,,,
AMPICILLIN/AMPICILLIN TRIHYDRATE,CAPSULE,ORAL,AMPICILLIN TRIHYDRATE,MYLAN,EQ 250MG BASE,A,61755,1,,,No,No,DISCN,MYLAN PHARMACEUTICALS INC,61755-1,,,,,,,,,
AMPICILLIN/AMPICILLIN TRIHYDRATE,CAPSULE,ORAL,AMPICILLIN TRIHYDRATE,MYLAN,EQ 500MG BASE,A,61755,2,,,No,No,DISCN,MYLAN PHARMACEUTICALS INC,61755-2,,,,,,,,,
ANAGRELIDE HYDROCHLORIDE,CAPSULE,ORAL,ANAGRELIDE HYDROCHLORIDE,MYLAN PHARMS INC,EQ 0.5MG BASE,A,76811,1,,4/18/2005,No,No,DISCN,MYLAN PHARMACEUTICALS INC,76811-1,,,,,,,,,
ANAGRELIDE HYDROCHLORIDE,CAPSULE,ORAL,ANAGRELIDE HYDROCHLORIDE,MYLAN PHARMS INC,EQ 0.5MG BASE,A,77613,1,,6/27/2006,No,No,DISCN,MYLAN PHARMACEUTICALS INC,77613-1,,,,,,,,,
ANAGRELIDE HYDROCHLORIDE,CAPSULE,ORAL,ANAGRELIDE HYDROCHLORIDE,MYLAN PHARMS INC,EQ 1MG BASE,A,76811,2,,4/18/2005,No,No,DISCN,MYLAN PHARMACEUTICALS INC,76811-2,,,,,,,,,
ANAGRELIDE HYDROCHLORIDE,CAPSULE,ORAL,ANAGRELIDE HYDROCHLORIDE,MYLAN PHARMS INC,EQ 1MG BASE,A,77613,2,,6/27/2006,No,No,DISCN,MYLAN PHARMACEUTICALS INC,77613-2,,,,,,,,,
BALSALAZIDE DISODIUM,CAPSULE,ORAL,BALSALAZIDE DISODIUM,MYLAN,750MG,A,77807,1,AB,12/28/2007,No,No,RX,MYLAN PHARMACEUTICALS INC,77807-1,,,,,,,,,
BROMOCRIPTINE MESYLATE,CAPSULE,ORAL,BROMOCRIPTINE MESYLATE,MYLAN,EQ 5MG BASE,A,77226,1,AB,4/4/2005,No,Yes,RX,MYLAN PHARMACEUTICALS INC,77226-1,,,,,,,,,
BUDESONIDE,CAPSULE,ORAL,BUDESONIDE,MYLAN,3MG,A,90410,1,AB,5/16/2011,No,No,RX,MYLAN PHARMACEUTICALS INC,90410-1,,,,,,,,,
CELECOXIB,CAPSULE,ORAL,CELECOXIB,MYLAN PHARMS INC,50MG,A,78857,1,AB,5/30/2014,No,No,RX,MYLAN PHARMACEUTICALS INC,78857-1,,,,,,,,,
CELECOXIB,CAPSULE,ORAL,CELECOXIB,MYLAN PHARMS INC,100MG,A,78857,2,AB,2/11/2015,No,No,RX,MYLAN PHARMACEUTICALS INC,78857-2,,,,,,,,,
CELECOXIB,CAPSULE,ORAL,CELECOXIB,MYLAN PHARMS INC,200MG,A,78857,3,AB,2/11/2015,No,No,RX,MYLAN PHARMACEUTICALS INC,78857-3,,,,,,,,,
